Category: All categories

Week,bitcoin: (Worldwide)
2020-07-12,15
2020-07-19,13
2020-07-26,21
2020-08-02,20
2020-08-09,17
2020-08-16,17
2020-08-23,14
2020-08-30,16
2020-09-06,14
2020-09-13,13
2020-09-20,12
2020-09-27,11
2020-10-04,12
2020-10-11,12
2020-10-18,17
2020-10-25,19
2020-11-01,20
2020-11-08,20
2020-11-15,28
2020-11-22,31
2020-11-29,28
2020-12-06,22
2020-12-13,35
2020-12-20,37
2020-12-27,53
2021-01-03,89
2021-01-10,86
2021-01-17,54
2021-01-24,50
2021-01-31,46
2021-02-07,81
2021-02-14,76
2021-02-21,85
2021-02-28,55
2021-03-07,53
2021-03-14,55
2021-03-21,47
2021-03-28,47
2021-04-04,44
2021-04-11,54
2021-04-18,72
2021-04-25,53
2021-05-02,45
2021-05-09,61
2021-05-16,100
2021-05-23,71
2021-05-30,53
2021-06-06,55
2021-06-13,43
2021-06-20,52
2021-06-27,36
2021-07-04,31
2021-07-11,29
2021-07-18,35
2021-07-25,41
2021-08-01,33
2021-08-08,35
2021-08-15,32
2021-08-22,33
2021-08-29,28
2021-09-05,39
2021-09-12,28
2021-09-19,36
2021-09-26,29
2021-10-03,36
2021-10-10,38
2021-10-17,48
2021-10-24,38
2021-10-31,32
2021-11-07,40
2021-11-14,40
2021-11-21,37
2021-11-28,39
2021-12-05,41
2021-12-12,36
2021-12-19,32
2021-12-26,32
2022-01-02,43
2022-01-09,40
2022-01-16,41
2022-01-23,56
2022-01-30,41
2022-02-06,40
2022-02-13,33
2022-02-20,42
2022-02-27,38
2022-03-06,33
2022-03-13,30
2022-03-20,27
2022-03-27,31
2022-04-03,27
2022-04-10,26
2022-04-17,23
2022-04-24,24
2022-05-01,26
2022-05-08,58
2022-05-15,39
2022-05-22,32
2022-05-29,27
2022-06-05,26
2022-06-12,70
2022-06-19,53
2022-06-26,36
2022-07-03,34
2022-07-10,31
2022-07-17,32
2022-07-24,28
2022-07-31,25
2022-08-07,23
2022-08-14,25
2022-08-21,21
2022-08-28,23
2022-09-04,23
2022-09-11,22
2022-09-18,24
2022-09-25,21
2022-10-02,20
2022-10-09,18
2022-10-16,17
2022-10-23,19
2022-10-30,19
2022-11-06,35
2022-11-13,32
2022-11-20,24
2022-11-27,21
2022-12-04,20
2022-12-11,20
2022-12-18,17
2022-12-25,18
2023-01-01,19
2023-01-08,22
2023-01-15,25
2023-01-22,23
2023-01-29,22
2023-02-05,19
2023-02-12,20
2023-02-19,21
2023-02-26,18
2023-03-05,20
2023-03-12,27
2023-03-19,27
2023-03-26,24
2023-04-02,21
2023-04-09,25
2023-04-16,23
2023-04-23,21
2023-04-30,20
2023-05-07,20
2023-05-14,17
2023-05-21,18
2023-05-28,18
2023-06-04,19
2023-06-11,19
2023-06-18,22
2023-06-25,21
2023-07-02,20
2023-07-09,21
2023-07-16,19
2023-07-23,19
2023-07-30,18
2023-08-06,18
2023-08-13,20
2023-08-20,20
2023-08-27,19
2023-09-03,17
2023-09-10,16
2023-09-17,17
2023-09-24,16
2023-10-01,17
2023-10-08,16
2023-10-15,18
2023-10-22,27
2023-10-29,22
2023-11-05,24
2023-11-12,22
2023-11-19,21
2023-11-26,21
2023-12-03,31
2023-12-10,26
2023-12-17,24
2023-12-24,23
2023-12-31,28
2024-01-07,43
2024-01-14,27
2024-01-21,25
2024-01-28,20
2024-02-04,20
2024-02-11,30
2024-02-18,24
2024-02-25,44
2024-03-03,55
2024-03-10,47
2024-03-17,40
2024-03-24,34
2024-03-31,31
2024-04-07,32
2024-04-14,43
2024-04-21,28
2024-04-28,26
2024-05-05,22
2024-05-12,22
2024-05-19,24
2024-05-26,20
2024-06-02,21
2024-06-09,20
2024-06-16,19
2024-06-23,20
2024-06-30,22
2024-07-07,22
2024-07-14,24
2024-07-21,24
2024-07-28,22
2024-08-04,34
2024-08-11,23
2024-08-18,21
2024-08-25,19
2024-09-01,20
2024-09-08,19
2024-09-15,20
2024-09-22,19
2024-09-29,17
2024-10-06,19
2024-10-13,18
2024-10-20,18
2024-10-27,23
2024-11-03,37
2024-11-10,67
2024-11-17,57
2024-11-24,43
2024-12-01,50
2024-12-08,42
2024-12-15,45
2024-12-22,36
2024-12-29,33
2025-01-05,34
2025-01-12,34
2025-01-19,42
2025-01-26,32
2025-02-02,34
2025-02-09,24
2025-02-16,22
2025-02-23,36
2025-03-02,37
2025-03-09,33
2025-03-16,25
2025-03-23,22
2025-03-30,25
2025-04-06,32
2025-04-13,20
2025-04-20,23
2025-04-27,20
2025-05-04,23
2025-05-11,24
2025-05-18,30
2025-05-25,24
2025-06-01,21
2025-06-08,22
2025-06-15,20
2025-06-22,21
2025-06-29,19
2025-07-06,25
2025-07-13,35
