Category: All categories

Week,altcoin: (Worldwide)
2020-07-12,10
2020-07-19,11
2020-07-26,14
2020-08-02,13
2020-08-09,16
2020-08-16,15
2020-08-23,12
2020-08-30,11
2020-09-06,8
2020-09-13,8
2020-09-20,7
2020-09-27,6
2020-10-04,6
2020-10-11,7
2020-10-18,8
2020-10-25,8
2020-11-01,9
2020-11-08,10
2020-11-15,12
2020-11-22,18
2020-11-29,14
2020-12-06,12
2020-12-13,14
2020-12-20,20
2020-12-27,29
2021-01-03,47
2021-01-10,34
2021-01-17,29
2021-01-24,28
2021-01-31,38
2021-02-07,51
2021-02-14,56
2021-02-21,45
2021-02-28,30
2021-03-07,41
2021-03-14,45
2021-03-21,44
2021-03-28,57
2021-04-04,73
2021-04-11,70
2021-04-18,69
2021-04-25,51
2021-05-02,67
2021-05-09,66
2021-05-16,51
2021-05-23,37
2021-05-30,25
2021-06-06,25
2021-06-13,22
2021-06-20,19
2021-06-27,17
2021-07-04,15
2021-07-11,13
2021-07-18,13
2021-07-25,17
2021-08-01,17
2021-08-08,25
2021-08-15,26
2021-08-22,25
2021-08-29,25
2021-09-05,27
2021-09-12,21
2021-09-19,18
2021-09-26,17
2021-10-03,28
2021-10-10,37
2021-10-17,38
2021-10-24,42
2021-10-31,43
2021-11-07,42
2021-11-14,35
2021-11-21,33
2021-11-28,30
2021-12-05,26
2021-12-12,21
2021-12-19,21
2021-12-26,23
2022-01-02,27
2022-01-09,21
2022-01-16,23
2022-01-23,19
2022-01-30,17
2022-02-06,18
2022-02-13,14
2022-02-20,14
2022-02-27,14
2022-03-06,12
2022-03-13,13
2022-03-20,14
2022-03-27,18
2022-04-03,14
2022-04-10,13
2022-04-17,12
2022-04-24,13
2022-05-01,11
2022-05-08,18
2022-05-15,13
2022-05-22,11
2022-05-29,10
2022-06-05,9
2022-06-12,12
2022-06-19,15
2022-06-26,10
2022-07-03,9
2022-07-10,8
2022-07-17,9
2022-07-24,9
2022-07-31,9
2022-08-07,10
2022-08-14,10
2022-08-21,10
2022-08-28,8
2022-09-04,7
2022-09-11,8
2022-09-18,8
2022-09-25,7
2022-10-02,7
2022-10-09,7
2022-10-16,7
2022-10-23,8
2022-10-30,8
2022-11-06,9
2022-11-13,8
2022-11-20,7
2022-11-27,6
2022-12-04,6
2022-12-11,7
2022-12-18,6
2022-12-25,6
2023-01-01,6
2023-01-08,8
2023-01-15,8
2023-01-22,8
2023-01-29,8
2023-02-05,7
2023-02-12,7
2023-02-19,7
2023-02-26,6
2023-03-05,5
2023-03-12,8
2023-03-19,9
2023-03-26,9
2023-04-02,9
2023-04-09,12
2023-04-16,11
2023-04-23,9
2023-04-30,7
2023-05-07,8
2023-05-14,7
2023-05-21,7
2023-05-28,7
2023-06-04,9
2023-06-11,9
2023-06-18,9
2023-06-25,9
2023-07-02,8
2023-07-09,9
2023-07-16,9
2023-07-23,7
2023-07-30,7
2023-08-06,7
2023-08-13,8
2023-08-20,7
2023-08-27,7
2023-09-03,6
2023-09-10,5
2023-09-17,6
2023-09-24,5
2023-10-01,5
2023-10-08,5
2023-10-15,6
2023-10-22,8
2023-10-29,9
2023-11-05,12
2023-11-12,11
2023-11-19,10
2023-11-26,9
2023-12-03,19
2023-12-10,15
2023-12-17,15
2023-12-24,17
2023-12-31,16
2024-01-07,22
2024-01-14,20
2024-01-21,16
2024-01-28,12
2024-02-04,12
2024-02-11,16
2024-02-18,17
2024-02-25,32
2024-03-03,44
2024-03-10,39
2024-03-17,25
2024-03-24,25
2024-03-31,19
2024-04-07,20
2024-04-14,21
2024-04-21,17
2024-04-28,14
2024-05-05,12
2024-05-12,13
2024-05-19,15
2024-05-26,14
2024-06-02,13
2024-06-09,13
2024-06-16,14
2024-06-23,12
2024-06-30,12
2024-07-07,10
2024-07-14,12
2024-07-21,12
2024-07-28,11
2024-08-04,17
2024-08-11,12
2024-08-18,11
2024-08-25,10
2024-09-01,10
2024-09-08,10
2024-09-15,10
2024-09-22,12
2024-09-29,11
2024-10-06,10
2024-10-13,12
2024-10-20,15
2024-10-27,16
2024-11-03,22
2024-11-10,55
2024-11-17,55
2024-11-24,68
2024-12-01,100
2024-12-08,60
2024-12-15,50
2024-12-22,41
2024-12-29,37
2025-01-05,33
2025-01-12,35
2025-01-19,36
2025-01-26,29
2025-02-02,34
2025-02-09,25
2025-02-16,20
2025-02-23,22
2025-03-02,20
2025-03-09,17
2025-03-16,13
2025-03-23,13
2025-03-30,11
2025-04-06,12
2025-04-13,12
2025-04-20,16
2025-04-27,14
2025-05-04,20
2025-05-11,26
2025-05-18,24
2025-05-25,19
2025-06-01,17
2025-06-08,20
2025-06-15,17
2025-06-22,20
2025-06-29,19
2025-07-06,28
2025-07-13,43
